Node 1	Node 2	Weight
perchlorate	molybdenum	1
perchlorate	arsenic	12
perchlorate	cadmium	12
perchlorate	vanadium	1
perchlorate	lead	11
perchlorate	dieldrin	11
perchlorate	chromium	12
perchlorate	boron	1
perchlorate	radium-226	1
molybdenum	boron	1
molybdenum	arsenic	2
molybdenum	chromium	2
molybdenum	lead	1
molybdenum	dieldrin	2
molybdenum	cadmium	2
arsenic	aluminum	20
arsenic	strontium	6
arsenic	boron	27
arsenic	iron	28
arsenic	selenium	1
arsenic	phosphorus	21
arsenic	antimony	15
arsenic	vanadium	39
arsenic	cadmium	97
arsenic	thallium	4
arsenic	lead	41
arsenic	dieldrin	50
arsenic	barium	2
arsenic	chromium	146
arsenic	manganese	79
arsenic	radium-228	33
arsenic	nickel	1
arsenic	radium-226	34
cadmium	aluminum	3
cadmium	strontium	2
cadmium	boron	12
cadmium	iron	9
cadmium	vanadium	13
cadmium	chromium	97
cadmium	manganese	23
cadmium	nickel	1
cadmium	radium-226	34
cadmium	antimony	2
cadmium	thallium	4
cadmium	lead	41
cadmium	dieldrin	50
cadmium	radium-228	33
cadmium	barium	1
vanadium	aluminum	8
vanadium	strontium	2
vanadium	boron	7
vanadium	iron	11
vanadium	selenium	1
vanadium	phosphorus	6
vanadium	antimony	13
vanadium	thallium	3
vanadium	lead	8
vanadium	dieldrin	5
vanadium	barium	1
vanadium	chromium	39
vanadium	radium-228	7
vanadium	manganese	13
vanadium	nickel	1
vanadium	radium-226	8
lead	aluminum	1
lead	strontium	2
lead	boron	3
lead	iron	5
lead	chromium	41
lead	manganese	6
lead	nickel	1
lead	radium-226	7
lead	antimony	2
lead	thallium	4
lead	dieldrin	34
lead	barium	1
lead	radium-228	5
dieldrin	boron	1
dieldrin	iron	3
dieldrin	chromium	50
dieldrin	manganese	6
dieldrin	radium-226	2
dieldrin	antimony	2
chromium	aluminum	15
chromium	strontium	2
chromium	boron	13
chromium	iron	17
chromium	selenium	1
chromium	phosphorus	6
chromium	antimony	15
chromium	thallium	4
chromium	radium-228	33
chromium	barium	1
chromium	manganese	33
chromium	nickel	1
chromium	radium-226	34
boron	aluminum	2
boron	strontium	2
boron	phosphorus	2
boron	antimony	1
boron	thallium	3
boron	barium	1
boron	radium-228	9
boron	manganese	8
boron	radium-226	10
boron	iron	8
radium-226	strontium	2
radium-226	iron	5
radium-226	manganese	11
radium-226	nickel	1
radium-226	thallium	4
radium-226	barium	1
radium-226	radium-228	30
aluminum	phosphorus	1
aluminum	antimony	7
aluminum	strontium	2
aluminum	manganese	13
aluminum	iron	10
aluminum	selenium	1
phosphorus	iron	4
phosphorus	antimony	4
phosphorus	manganese	9
antimony	iron	7
antimony	selenium	1
antimony	manganese	8
strontium	thallium	2
strontium	radium-228	2
strontium	barium	1
strontium	manganese	6
strontium	nickel	1
strontium	iron	4
manganese	iron	21
manganese	selenium	1
manganese	thallium	3
manganese	barium	2
manganese	radium-228	12
manganese	nickel	1
iron	thallium	3
iron	barium	1
iron	radium-228	5
iron	nickel	1
iron	selenium	1
thallium	nickel	1
thallium	barium	1
thallium	radium-228	4
radium-228	nickel	1
radium-228	barium	1
