Node 1	Node 2	Weight
11082800	11104000	1
11082800	11105500	1
11082800	11103000	1
11082800	340205118405301	1
11104000	11103000	6
11104000	340205118405301	17
11104000	344158118124801	1
11104000	11105500	16
11104000	11105410	11
11104000	340655118451801	11
11104000	340248118352401	11
11104000	340215118455401	1
11105500	11103000	5
11105500	340205118405301	16
11105500	344158118124801	1
11105500	340655118451801	11
11105500	11105410	11
11105500	340248118352401	11
11105500	340215118455401	1
11103000	340205118405301	6
11103000	344158118124801	1
11103000	340215118455401	1
340205118405301	344158118124801	1
340205118405301	11105410	12
340205118405301	340655118451801	11
340205118405301	340248118352401	11
340205118405301	340215118455401	1
11105410	340655118451801	11
11105410	340248118352401	11
340655118451801	340248118352401	11
