Node 1	Node 2	Weight
thallium	barium	1
thallium	radium-228	5
vanadium	p,p'-dde	1
vanadium	beryllium	8
vanadium	aluminum	9
vanadium	strontium	2
vanadium	boron	8
vanadium	iron	11
vanadium	selenium	1
vanadium	phosphorus	11
vanadium	chlorothalonil	1
vanadium	chromium	93
vanadium	manganese	37
vanadium	nickel	14
vanadium	radium-226	22
vanadium	antimony	14
vanadium	lead	50
vanadium	dieldrin	24
vanadium	radium-228	21
vanadium	lindane	1
vanadium	aldicarb	1
vanadium	barium	1
p,p'-dde	beryllium	1
p,p'-dde	boron	3
p,p'-dde	iron	3
p,p'-dde	phosphorus	4
p,p'-dde	chlorothalonil	1
p,p'-dde	p,p'-ddd	6
p,p'-dde	endrin	6
p,p'-dde	p,p'-ddt	7
p,p'-dde	chromium	8
p,p'-dde	alpha-hch	1
p,p'-dde	manganese	4
p,p'-dde	heptachlor	6
p,p'-dde	nickel	3
p,p'-dde	radium-226	3
p,p'-dde	heptachlor epoxide	6
p,p'-dde	lead	12
p,p'-dde	dieldrin	16
p,p'-dde	radium-228	1
p,p'-dde	lindane	7
p,p'-dde	toxaphene	6
p,p'-dde	pcbs	7
p,p'-dde	aldrin	6
p,p'-dde	aldicarb	2
lead	beryllium	13
lead	aluminum	4
lead	strontium	4
lead	boron	8
lead	iron	19
lead	selenium	1
lead	phosphorus	12
lead	chlorothalonil	1
lead	p,p'-ddd	3
lead	endrin	3
lead	p,p'-ddt	4
lead	chromium	144
lead	heptachlor	3
lead	manganese	60
lead	nickel	23
lead	radium-226	34
lead	antimony	4
lead	heptachlor epoxide	3
lead	dieldrin	75
lead	radium-228	31
lead	lindane	4
lead	toxaphene	3
lead	pcbs	4
lead	aldrin	3
lead	aldicarb	1
lead	barium	1
dieldrin	beryllium	1
dieldrin	boron	7
dieldrin	iron	9
dieldrin	phosphorus	4
dieldrin	chlorothalonil	1
dieldrin	p,p'-ddd	6
dieldrin	endrin	6
dieldrin	p,p'-ddt	7
dieldrin	chromium	132
dieldrin	alpha-hch	1
dieldrin	heptachlor	6
dieldrin	manganese	13
dieldrin	nickel	4
dieldrin	radium-226	40
dieldrin	antimony	2
dieldrin	heptachlor epoxide	6
dieldrin	radium-228	39
dieldrin	lindane	7
dieldrin	toxaphene	6
dieldrin	pcbs	7
dieldrin	aldrin	6
dieldrin	aldicarb	2
chromium	beryllium	12
chromium	aluminum	23
chromium	strontium	2
chromium	boron	18
chromium	iron	31
chromium	selenium	2
chromium	phosphorus	27
chromium	chlorothalonil	1
chromium	manganese	98
chromium	nickel	20
chromium	radium-226	72
chromium	antimony	19
chromium	radium-228	72
chromium	lindane	1
chromium	aldicarb	1
chromium	barium	1
radium-228	aluminum	1
radium-228	strontium	2
radium-228	boron	12
radium-228	iron	7
radium-228	manganese	18
radium-228	nickel	2
radium-228	radium-226	66
radium-228	barium	1
boron	aluminum	6
boron	strontium	9
boron	iron	18
boron	phosphorus	6
boron	p,p'-ddd	2
boron	endrin	2
boron	p,p'-ddt	3
boron	manganese	19
boron	heptachlor	2
boron	nickel	1
boron	radium-226	13
boron	antimony	2
boron	heptachlor epoxide	2
boron	lindane	2
boron	toxaphene	2
boron	pcbs	3
boron	aldrin	2
boron	barium	1
radium-226	aluminum	1
radium-226	strontium	2
radium-226	iron	7
radium-226	manganese	17
radium-226	nickel	2
radium-226	barium	1
beryllium	phosphorus	4
beryllium	chlorothalonil	1
beryllium	lindane	1
beryllium	aldicarb	1
beryllium	manganese	10
beryllium	nickel	2
beryllium	iron	1
