Node 1	Node 2	Weight
phosphorus	mercury	1
phosphorus	chlorothalonil	1
phosphorus	arsenic	18
phosphorus	cadmium	10
phosphorus	vanadium	4
phosphorus	lindane	1
phosphorus	beryllium	4
phosphorus	lead	10
phosphorus	p,p'-dde	1
phosphorus	dieldrin	1
phosphorus	aldicarb	1
phosphorus	chromium	10
phosphorus	strontium	1
phosphorus	manganese	13
phosphorus	nickel	4
phosphorus	molybdenum	2
mercury	arsenic	1
mercury	cadmium	1
mercury	lead	1
mercury	chromium	1
mercury	nickel	1
chlorothalonil	arsenic	1
chlorothalonil	cadmium	1
chlorothalonil	vanadium	1
chlorothalonil	lindane	1
chlorothalonil	beryllium	1
chlorothalonil	lead	1
chlorothalonil	p,p'-dde	1
chlorothalonil	dieldrin	1
chlorothalonil	aldicarb	1
chlorothalonil	chromium	1
chlorothalonil	molybdenum	1
arsenic	vanadium	29
arsenic	cadmium	51
arsenic	lindane	1
arsenic	beryllium	12
arsenic	lead	51
arsenic	p,p'-dde	1
arsenic	dieldrin	1
arsenic	boron	8
arsenic	aldicarb	1
arsenic	chromium	51
arsenic	strontium	1
arsenic	manganese	77
arsenic	nickel	18
arsenic	molybdenum	14
arsenic	iron	9
cadmium	vanadium	32
cadmium	lindane	1
cadmium	beryllium	12
cadmium	lead	69
cadmium	p,p'-dde	1
cadmium	dieldrin	1
cadmium	aldicarb	1
cadmium	chromium	69
cadmium	manganese	44
cadmium	nickel	18
cadmium	molybdenum	14
cadmium	iron	5
vanadium	lindane	1
vanadium	beryllium	8
vanadium	lead	32
vanadium	p,p'-dde	1
vanadium	dieldrin	1
vanadium	aldicarb	1
vanadium	chromium	32
vanadium	manganese	24
vanadium	nickel	12
vanadium	molybdenum	12
lindane	beryllium	1
lindane	lead	1
lindane	p,p'-dde	1
lindane	dieldrin	1
lindane	aldicarb	1
lindane	chromium	1
lindane	molybdenum	1
beryllium	p,p'-dde	1
beryllium	lead	12
beryllium	dieldrin	1
beryllium	aldicarb	1
beryllium	chromium	12
beryllium	manganese	10
beryllium	nickel	2
beryllium	molybdenum	2
beryllium	iron	1
lead	p,p'-dde	1
lead	dieldrin	1
lead	aldicarb	1
lead	chromium	69
lead	manganese	44
lead	nickel	18
lead	molybdenum	14
lead	iron	5
p,p'-dde	dieldrin	1
p,p'-dde	aldicarb	1
p,p'-dde	chromium	1
p,p'-dde	molybdenum	1
dieldrin	aldicarb	1
dieldrin	chromium	1
dieldrin	molybdenum	1
aldicarb	chromium	1
aldicarb	molybdenum	1
chromium	manganese	44
chromium	nickel	18
chromium	molybdenum	14
chromium	iron	5
strontium	boron	2
strontium	manganese	3
strontium	iron	2
manganese	boron	5
manganese	nickel	12
manganese	molybdenum	8
manganese	iron	12
nickel	molybdenum	12
nickel	iron	3
molybdenum	iron	2
boron	iron	6
