Pollutant	Color
phosphorus	#85e520
mercury	#fc8540
arsenic	#f6cf29
cadmium	#9ea66a
lead	#82b8cf
chromium	#c275b5
manganese	#d7cfb8
iron	#07a39e
selenium	#78471f
beryllium	#7aa90e
p,p'-dde	#11fa8e
boron	#a75718
dieldrin	#3f76d1
pcbs	#07d1ee
p,p'-ddt	#ad8834
