beryllium	aldicarb
beryllium	chlorothalonil
beryllium	lindane
beryllium	nickel
beryllium	molybdenum
beryllium	lead
beryllium	p,p'-dde
bisphenol a	naphthalene
bisphenol a	pyrene
bisphenol a	atrazine
bisphenol a	chlorpyrifos
bisphenol a	diazinon
bisphenol a	2-methylnaphthalene
bisphenol a	carbazole
bisphenol a	fluoranthene
bisphenol a	bromacil
bisphenol a	isophorone
bisphenol a	prometon
bisphenol a	metolachlor
antimony	iron
antimony	arsenic
antimony	boron
antimony	phosphorus
antimony	molybdenum
antimony	selenium
antimony	aluminum
antimony	lead
boron	barium
boron	nickel
boron	perchlorate
boron	p,p'-dde
boron	radium-228
boron	strontium
boron	iron
boron	p,p'-ddd
boron	heptachlor
boron	arsenic
boron	phosphorus
boron	lindane
boron	molybdenum
boron	endrin
boron	lead
boron	thallium
boron	aluminum
barium	strontium
barium	iron
barium	arsenic
barium	lead
barium	radium-228
barium	thallium
fluoranthene	naphthalene
fluoranthene	pyrene
fluoranthene	atrazine
fluoranthene	chlorpyrifos
fluoranthene	diazinon
fluoranthene	2-methylnaphthalene
fluoranthene	carbazole
fluoranthene	bromacil
fluoranthene	isophorone
fluoranthene	prometon
fluoranthene	metolachlor
carbazole	naphthalene
carbazole	pyrene
carbazole	atrazine
carbazole	chlorpyrifos
carbazole	diazinon
carbazole	2-methylnaphthalene
carbazole	bromacil
carbazole	isophorone
carbazole	prometon
carbazole	metolachlor
nickel	p,p'-dde
nickel	radium-228
nickel	strontium
nickel	iron
nickel	arsenic
nickel	phosphorus
nickel	heptachlor
nickel	p,p'-ddd
nickel	lindane
nickel	molybdenum
nickel	endrin
nickel	lead
nickel	thallium
perchlorate	arsenic
perchlorate	molybdenum
perchlorate	lead
perchlorate	p,p'-dde
perchlorate	radium-228
perchlorate	thallium
p,p'-dde	radium-228
p,p'-dde	iron
p,p'-dde	arsenic
p,p'-dde	heptachlor
p,p'-dde	p,p'-ddd
p,p'-dde	phosphorus
p,p'-dde	lindane
p,p'-dde	chlorothalonil
p,p'-dde	molybdenum
p,p'-dde	endrin
p,p'-dde	lead
p,p'-dde	thallium
p,p'-dde	aldicarb
p,p'-dde	alpha-hch
radium-228	strontium
radium-228	iron
radium-228	arsenic
radium-228	lead
radium-228	aluminum
radium-228	thallium
strontium	iron
strontium	arsenic
strontium	phosphorus
strontium	aluminum
strontium	lead
strontium	thallium
naphthalene	pyrene
naphthalene	atrazine
naphthalene	chlorpyrifos
naphthalene	diazinon
naphthalene	2-methylnaphthalene
naphthalene	bromacil
naphthalene	isophorone
naphthalene	prometon
naphthalene	metolachlor
phosphorus	iron
phosphorus	arsenic
phosphorus	chlorothalonil
phosphorus	lindane
phosphorus	molybdenum
phosphorus	selenium
phosphorus	lead
phosphorus	aldicarb
phosphorus	aluminum
arsenic	iron
arsenic	heptachlor
arsenic	p,p'-ddd
arsenic	atrazine
arsenic	lindane
arsenic	chlorothalonil
arsenic	molybdenum
arsenic	selenium
arsenic	endrin
arsenic	lead
arsenic	thallium
arsenic	aldicarb
arsenic	aluminum
iron	heptachlor
iron	p,p'-ddd
iron	lindane
iron	molybdenum
iron	selenium
iron	endrin
iron	lead
iron	thallium
iron	aluminum
heptachlor	p,p'-ddd
heptachlor	lindane
heptachlor	endrin
heptachlor	lead
p,p'-ddd	lindane
p,p'-ddd	endrin
p,p'-ddd	lead
lindane	chlorothalonil
lindane	molybdenum
lindane	endrin
lindane	lead
lindane	aldicarb
atrazine	pyrene
atrazine	chlorpyrifos
atrazine	diazinon
atrazine	2-methylnaphthalene
atrazine	bromacil
atrazine	isophorone
atrazine	prometon
atrazine	metolachlor
chlorothalonil	aldicarb
chlorothalonil	molybdenum
chlorothalonil	lead
molybdenum	aldicarb
molybdenum	lead
endrin	lead
selenium	aluminum
selenium	lead
lead	thallium
lead	aldicarb
lead	aluminum
bromacil	pyrene
bromacil	chlorpyrifos
bromacil	diazinon
bromacil	2-methylnaphthalene
bromacil	isophorone
bromacil	prometon
bromacil	metolachlor
prometon	pyrene
prometon	chlorpyrifos
prometon	diazinon
prometon	2-methylnaphthalene
prometon	isophorone
prometon	metolachlor
thallium	aluminum
metolachlor	pyrene
metolachlor	chlorpyrifos
metolachlor	diazinon
metolachlor	2-methylnaphthalene
metolachlor	isophorone
pyrene	chlorpyrifos
pyrene	diazinon
pyrene	2-methylnaphthalene
pyrene	isophorone
aldicarb	alpha-hch
chlorpyrifos	diazinon
chlorpyrifos	2-methylnaphthalene
chlorpyrifos	isophorone
diazinon	2-methylnaphthalene
diazinon	isophorone
2-methylnaphthalene	isophorone
